person,current_company,past_company1,past_company2,past_company3,education,linkedin_group1,linkedin_group2,linkedin_group3,hobby1,hobby2,hobby3
Beaulah Leich,Audi,TigerGraph,Opel,,Technische Universität Berlin,Big Data,Automotive,,Darts,Basketball,Stamp Collecting
Conchita Stavsvick,Opel,Skoda,,,Leibniz-Fachhochschule,Airline,Security,,Photography,,
Tosha Trammell,Seat,Microsoft,BMW,Audi,Universität Stuttgart,Retail,,,Kite Boarding,,
Rich Megown,Seat,,,,Universität Stuttgart,Graph Databases,AI,,Tennis,Skateboarding,
Cristin Palmo,BMW,,,,Universität Stuttgart,Airline,TigerGraph,GSQL,Brewing Beer,Aeromodeling,Hunting
Ja Belschner,Lexus,Porsche,,,Technische Universität Braunschweig,Industry trends,Future trends,,Kite Boarding,Relaxing,Sailing
Audrie Dario,Lexus,Porsche,,,Hochschule Rosenheim,Analytics,Automotive,Retail,Painting,,
Chantel Spruill,Audi,Volkswagen,,,Hochschule Neu-Ulm,Automotive,,,Fishing,,
Augusta Tocco,Opel,Lexus,Porsche,Tesla,Universität Augsburg,Kubernetes,,,Motorcycles,Reading,Train Spotting
Julianna Degross,Seat,Porsche,TigerGraph,,Universität Stuttgart,Big Data,Automotive,,Running,Bowling,Horse riding
Vera Bouleris,Seat,Porsche,Volkswagen,Mercedes,Technische Universität Braunschweig,Big Data,AI,,Hunting,Rafting,
Esta Abt,TigerGraph,Tesla,,,Universität Konstanz,Security,,,Couch potatoing,Snowboarding,
Kendal Slader,Toyota,Skoda,BMW,,Universität Stuttgart,Big Data,,,Chilling,Skateboarding,
Flor Horikoshi,Audi,Mercedes,,,Hochschule Esslingen,Cloud,AI,NoSQL,Baseball,Scuba Diving,Robotics
Kristie Vasconez,Audi,BMW,Tesla,,Heinrich-Heine-Universität Düsseldorf,Airline,,,Gardening,TV watching,Traveling
Regena Cesario,Opel,Volkswagen,,,Technische Universität München,Cloud,Airline,,Baseball,Car Racing,
Branden Scamehorn,Audi,TigerGraph,Tesla,,Fachhochschule Aachen,Big Data,,,Golf,Bicycling,
Tashina Setliff,BMW,,,,Hochschule Macromedia,NoSQL,Automotive,Cloud,Golf,Marathon,
Leonore Povey,Mercedes,,,,Technische Hochschule Mittelhessen,Analytics,Retail,GSQL,Skiing,Scuba Diving,Marathon
Larraine Shiminski,Volkswagen,Porsche,TigerGraph,,Munich Business School,Industry trends,Retail,,Hiking,Fishing,
Nanette Hameister,Mercedes,,,,Universität Stuttgart,NoSQL,Cloud,,Bowling,Tennis,
Allie Serano,BMW,,,,Technische Universität Darmstadt,Graph Databases,Future trends,,Traveling,,
Paul Yount,Lexus,,,,FernUniversität in Hagen,Analytics,,,Brewing Beer,Bicycling,Rafting
Demetra Fredrickson,TigerGraph,Skoda,,,Universität Regensburg,Security,,,Fishing,Skateboarding,
Hortense Lumba,Tesla,Porsche,Mercedes,,Technische Universität Darmstadt,AI,Airline,,Skateboarding,Scuba Diving,
Tyson Diersen,Opel,,,,Universität Freiburg,Big Data,Automotive,Retail,Marathon,Calligraphy,
Mara Sharman,Seat,,,,Philipps-Universität Marburg,Analytics,Industry trends,Security,Paragliding,Car Racing,
Lorita Yunk,Opel,Porsche,Microsoft,Tesla,Universität Freiburg,Cloud,Airline,,Paragliding,Photography,Cooking
Raymon Waska,Seat,BMW,Tesla,,Universität der Bundeswehr München,Airline,TigerGraph,,Football,,
Venice Colt,Opel,Volkswagen,Audi,,Hochschule Neu-Ulm,TigerGraph,Future trends,Automotive,Train Spotting,Skateboarding,
Waltraud Maffia,Skoda,Microsoft,,,Frankfurt University of Applied Sciences,Cloud,Airline,,Paragliding,Dog walking,Hiking
Rebecka Lundgren,Lexus,Volkswagen,,,Hochschule Rosenheim,TigerGraph,Security,,Basketball,,
Paulita Esaw,Toyota,Volkswagen,Skoda,Microsoft,Hochschule Landshut,Security,,,Parachuting,,
Latoria Zwolak,Audi,Lexus,,,Hochschule Esslingen,Kubernetes,TigerGraph,,Badminton,,
Anamaria Aboudi,BMW,Mercedes,,,Zeppelin University,Cloud,,,Photography,Dog walking,TV watching
Kayce Osayande,Opel,,,,Universität der Bundeswehr München,NoSQL,,,Martial Arts,Marathon,
Michelina Mintken,Volkswagen,Lexus,TigerGraph,Opel,Hochschule der Bundesagentur für Arbeit,Analytics,,,Chilling,Snowboarding,
Gwenn Lord,BMW,Skoda,Tesla,,Hochschule für angewandte Wissenschaften München,NoSQL,Analytics,Retail,Electronics,Parachuting,Badminton
Dorris Helvik,Skoda,,,,Hochschule Fresenius,AI,Graph Databases,Automotive,Photography,Bowling,Martial Arts
Trenton Moch,Toyota,,,,Fachhochschule Aachen,Big Data,Automotive,,Chilling,Kayaking,
Isa Mclennon,Lexus,Tesla,,,Fachhochschule Aachen,Analytics,Big Data,,Fishing,Bowling,Kayaking
Margene Coykendall,Opel,TigerGraph,Mercedes,,Hochschule der Bundesagentur für Arbeit,Cloud,Big Data,NoSQL,Train Spotting,Hunting,
Douglas Picotte,Lexus,TigerGraph,,,Universität Regensburg,Graph Databases,Future trends,Retail,Scuba Diving,Horse riding,
Stacee Joe,Lexus,BMW,,,FernUniversität in Hagen,Industry trends,,,Bowling,Electronics,Tennis
Belinda Pineiro,Porsche,BMW,,,Heinrich-Heine-Universität Düsseldorf,Airline,TigerGraph,,Baseball,Bicycling,
Angila Westley,Lexus,Volkswagen,,,Heinrich-Heine-Universität Düsseldorf,Automotive,Security,,Hiking,Darts,Sailing
Tillie Walbright,Toyota,Mercedes,,,Universität Erfurt,Cloud,Airline,Retail,Photography,Running,
Rosamond Emile,Audi,Volkswagen,Mercedes,,Universität Konstanz,Automotive,,,Motorcycles,Skiing,Aeromodeling
Isaac Budzik,Seat,,,,Hochschule Landshut,Kubernetes,Industry trends,,Hunting,Traveling,
Marco Seti,TigerGraph,BMW,,,Hochschule Macromedia,AI,,,Relaxing,Geocaching,Golf
Chrissy Mcgoey,Volkswagen,,,,Goethe-Universität Frankfurt am Main,Cloud,,,Hiking,Motorcycles,
Traci Lykke,Volkswagen,Porsche,Tesla,,Technische Universität Darmstadt,Future trends,GSQL,Retail,Scuba Diving,Badminton,
Claudie Litteral,Lexus,,,,Goethe-Universität Frankfurt am Main,Analytics,,,Relaxing,,
Marilee Zemel,Audi,Volkswagen,Mercedes,,Johannes Gutenberg-Universität Mainz,Industry trends,,,Skiing,Parachuting,Chess
Alease Berkebile,Opel,Porsche,,,Universität Passau,Kubernetes,Security,Automotive,Photography,Reading,Stamp Collecting
Eva Ammar,Mercedes,Seat,BMW,Microsoft,Universität Würzburg,NoSQL,Airline,,Stamp Collecting,,
Bette Legoff,Seat,Microsoft,Mercedes,,Universität Passau,Analytics,Kubernetes,TigerGraph,Cooking,Badminton,
Loyd Opet,Seat,TigerGraph,Microsoft,,Hochschule Macromedia,Graph Databases,,,Baseball,Fencing,TV watching
Verena Germani,Seat,Lexus,TigerGraph,Mercedes,FernUniversität in Hagen,Big Data,Industry trends,,Hunting,,
Lily Grand,TigerGraph,,,,Universität Würzburg,AI,Retail,GSQL,Snowboarding,Golf,
Gema Viele,Lexus,Porsche,TigerGraph,Microsoft,Zeppelin University,NoSQL,Security,Retail,Painting,Chess,Fencing
Alonso Budge,Mercedes,Opel,Audi,Tesla,Hochschule Rosenheim,Kubernetes,Airline,TigerGraph,Photography,Gardening,Aeromodeling
Marinda Myerson,Seat,Volkswagen,Skoda,Audi,Friedrich-Alexander-Universität Erlangen-Nürnberg,Cloud,,,Couch potatoing,Meditation,Hunting
Jacinta Kusel,BMW,Skoda,Mercedes,,Fachhochschule Aachen,Analytics,,,Gardening,TV watching,
Tod Bellino,Lexus,Porsche,Microsoft,,Universität Freiburg,AI,,,Fishing,Fencing,Astronomy
Chet Wolaver,Volkswagen,Porsche,Skoda,,Universität Würzburg,Cloud,Kubernetes,,Playing music,Calligraphy,
Joselyn Simpliciano,Toyota,Skoda,BMW,,Technische Universität München,Industry trends,,,Motorcycles,,
Bryce Schauer,Mercedes,,,,Hochschule Neu-Ulm,NoSQL,AI,,Chilling,Motorcycles,
Zandra Titchener,Opel,Volkswagen,Skoda,Mercedes,Universität Leipzig,Industry trends,Airline,,Cooking,Calligraphy,
Lacy Medearis,Opel,TigerGraph,,,Universität Augsburg,Retail,,,Hiking,Golf,Hunting
Isabell Birchard,Audi,,,,Universität Hamburg,Automotive,,,Geocaching,Stamp Collecting,
Rachell Berl,Opel,Lexus,BMW,Tesla,Universität zu Lübeck,Kubernetes,Industry trends,,Brewing Beer,Geocaching,
Lino Brandel,Lexus,Porsche,Microsoft,,Technische Universität Braunschweig,Future trends,,,Baseball,Meditation,Chess
Ardith Hon,Audi,Tesla,,,Goethe-Universität Frankfurt am Main,Security,,,Traveling,,
Corine Falb,Mercedes,TigerGraph,Microsoft,,Hochschule Fresenius,Kubernetes,Big Data,Retail,Parachuting,,
Vernia Peveto,Audi,Opel,Microsoft,,Hochschule Macromedia,NoSQL,Industry trends,Cloud,Paragliding,Kite Boarding,Aeromodeling
Celestina Cutler,Opel,Skoda,,,Universität Freiburg,TigerGraph,,,Gardening,,
Krystle Manicchio,Toyota,Porsche,,,Universität Leipzig,Big Data,,,Photography,,
Seymour Hobgood,Opel,TigerGraph,Skoda,,Universität zu Köln,Graph Databases,Security,,Baseball,Painting,Brewing Beer
Crystle Manigo,Toyota,Seat,Audi,Mercedes,Hochschule Landshut,Cloud,Automotive,GSQL,Train Spotting,Brewing Beer,Badminton
Janette Ansell,Toyota,Volkswagen,BMW,,Technische Universität Berlin,Automotive,,,Car Racing,,
Mickey Teagues,TigerGraph,Skoda,,,Zeppelin University,TigerGraph,,,Playing music,,
Francis Boston,Microsoft,Mercedes,,,Frankfurt University of Applied Sciences,Industry trends,,,Train Spotting,Geocaching,
Christal Baros,Seat,Porsche,Tesla,,Universität Ulm,Big Data,,,Skiing,,
Ivette Khanponaphan,BMW,Microsoft,,,Universität Stuttgart,Industry trends,,,Geocaching,,
Darryl Dykeman,TigerGraph,Skoda,,,Hochschule Fresenius,Future trends,,,Basketball,Scuba Diving,Kayaking
Gertude Blank,Seat,Lexus,TigerGraph,Skoda,Hochschule Neu-Ulm,Cloud,,,Meditation,Basketball,
Gema Hanenkrat,Volkswagen,TigerGraph,Tesla,,Johannes Gutenberg-Universität Mainz,Analytics,GSQL,,Running,,
Libbie Garrean,Opel,Mercedes,,,Universität Regensburg,AI,Security,,Dog walking,,
Odis Bomstad,Tesla,Microsoft,,,Hochschule Rosenheim,Kubernetes,Security,,Photography,,
Li Parda,Toyota,,,,Hochschule Macromedia,NoSQL,GSQL,Cloud,Hiking,Astronomy,Traveling
Eliana Lundi,BMW,Toyota,Skoda,,Brand Academy - Hochschule für Design und Kommunikation,Industry trends,TigerGraph,Airline,Relaxing,Robotics,Badminton
Hulda Midgley,Skoda,,,,Universität Konstanz,NoSQL,Analytics,Cloud,Gardening,Painting,
Lee Krigger,Opel,BMW,Mercedes,,Goethe-Universität Frankfurt am Main,Airline,,,Running,,
Sherrill Dramis,Volkswagen,,,,Frankfurt University of Applied Sciences,Automotive,,,Fishing,Basketball,Martial Arts
Sherry Peach,Tesla,,,,FernUniversität in Hagen,Cloud,Airline,Future trends,Snowboarding,Rafting,
Shandi Recine,Microsoft,,,,Universität München,AI,Future trends,Kubernetes,Kite Boarding,Golf,
Shirley Crowford,Mercedes,Volkswagen,BMW,Microsoft,Hochschule Rosenheim,Analytics,AI,TigerGraph,Stamp Collecting,Robotics,
Aldo Selma,Porsche,,,,Hochschule Neu-Ulm,Cloud,,,Fishing,Dancing,Aeromodeling
Michal Khubba,TigerGraph,BMW,Mercedes,,Hochschule Esslingen,Future trends,,,Cooking,,
Hilton Tokita,TigerGraph,,,,Universität Ulm,Big Data,Graph Databases,AI,Paragliding,Chess,
Erlinda Kiser,Volkswagen,,,,Universität Erfurt,Big Data,Airline,Security,Dog walking,Martial Arts,Stamp Collecting
Candice Patzner,Porsche,,,,Fachhochschule Dortmund,Cloud,Security,,Kite Boarding,Football,Marathon
Kacie Granberg,Lexus,TigerGraph,,,Fachhochschule Dortmund,NoSQL,Kubernetes,,Motorcycles,Car Racing,Marathon
Reynalda Opara,Toyota,,,,FernUniversität in Hagen,Retail,,,Couch potatoing,Dancing,Robotics
Caryn Gorter,Toyota,Audi,BMW,Tesla,Hochschule Macromedia,Industry trends,,,Photography,Sailing,Rafting
September Bigford,Toyota,Porsche,Skoda,Tesla,Universität Ulm,Analytics,,,Gardening,Traveling,
Hellen Sessin,Opel,Porsche,,,Technische Universität Darmstadt,Analytics,,,TV watching,,
Blythe Sival,Toyota,Volkswagen,Lexus,Porsche,Universität Erfurt,Industry trends,Future trends,,Chess,,
Simona Mustoe,Volkswagen,,,,Hochschule Neu-Ulm,Big Data,Future trends,,Martial Arts,,
Merideth Ferrarotti,Opel,,,,Hochschule Rosenheim,NoSQL,Analytics,,Mountain Biking,Hunting,Traveling
Emilia Pascascio,Volkswagen,Porsche,TigerGraph,,Philipps-Universität Marburg,Kubernetes,,,Astronomy,,
Vasiliki Perotta,Audi,TigerGraph,BMW,,FernUniversität in Hagen,Industry trends,GSQL,,Painting,Astronomy,
Toby Reek,Tesla,Toyota,Opel,Audi,Universität Ulm,Industry trends,,,Meditation,Skateboarding,
Archie Mcgrade,Opel,,,,Beuth Hochschule für Technik Berlin,Retail,,,Geocaching,,
Barrett Hou,Seat,Lexus,BMW,,Fachhochschule Aachen,Future trends,Security,,Darts,,
Bunny Liebherr,TigerGraph,Mercedes,,,Hochschule Esslingen,NoSQL,AI,Graph Databases,Couch potatoing,,
Jenette Wiest,TigerGraph,Audi,Porsche,Skoda,Universität zu Köln,GSQL,,,Meditation,Golf,Robotics
Neta Portz,Porsche,Skoda,Microsoft,,Universität Regensburg,NoSQL,AI,Kubernetes,Basketball,,
Xochitl Dalmata,Toyota,Lexus,Mercedes,,Universität Würzburg,NoSQL,Cloud,Retail,Brewing Beer,Tennis,Marathon
Masako Didion,BMW,,,,Hochschule der Bundesagentur für Arbeit,Big Data,Airline,Kubernetes,Rafting,,
Rosana Shires,Audi,,,,Hochschule Esslingen,Analytics,AI,Automotive,Meditation,Tennis,Calligraphy
Ferdinand Granlund,Porsche,Microsoft,,,Hochschule Macromedia,Cloud,Big Data,Automotive,Cooking,Aeromodeling,TV watching
Tammera Deland,Opel,Skoda,Mercedes,,Universität Erfurt,Automotive,,,Relaxing,Running,Car Racing
Artie Schrimsher,Tesla,,,,Universität Konstanz,Future trends,,,Playing music,,
Kristie Arriola,Volkswagen,Tesla,,,Hochschule Esslingen,NoSQL,,,Relaxing,Geocaching,Tennis
Efrain Atkinson,Tesla,Volkswagen,Microsoft,Mercedes,Philipps-Universität Marburg,Big Data,,,Bowling,Parachuting,Badminton
Roy Hoglund,Lexus,TigerGraph,Microsoft,,Fachhochschule Dortmund,TigerGraph,,,Relaxing,,
Leanora Boilard,Toyota,Opel,TigerGraph,,Hochschule für angewandte Wissenschaften München,Cloud,AI,Retail,Sailing,,
Omer Mccool,Tesla,Toyota,BMW,Microsoft,Leibniz-Fachhochschule,Retail,,,Astronomy,,
Mora Criley,Audi,Lexus,,,Universität der Bundeswehr München,NoSQL,Future trends,GSQL,Relaxing,Astronomy,
Jackson Kamerad,Opel,,,,Universität zu Köln,Security,,,Tennis,,
Jonah Vandusen,Mercedes,,,,Hochschule Neu-Ulm,Retail,,,Photography,Basketball,Parachuting
Morgan Divers,Toyota,Opel,Volkswagen,TigerGraph,Universität Freiburg,NoSQL,Cloud,,Geocaching,,
Alysa Shankles,Toyota,Opel,,,Beuth Hochschule für Technik Berlin,Graph Databases,Retail,,Kayaking,,
Audie Helt,Opel,Seat,Volkswagen,BMW,Universität Ulm,Retail,,,Mountain Biking,Scuba Diving,Hunting
Regina Imbier,Seat,Audi,,,Universität Regensburg,Industry trends,,,Painting,Robotics,
Oleta Waneka,TigerGraph,,,,Heinrich-Heine-Universität Düsseldorf,NoSQL,Industry trends,,Football,Hunting,
Audrey Krstic,TigerGraph,Porsche,BMW,,Fachhochschule Aachen,Analytics,Airline,,Chilling,Stamp Collecting,
Modesta Relles,Volkswagen,BMW,Tesla,,Universität München,Airline,,,Couch potatoing,Geocaching,
Nanette Kashan,Seat,TigerGraph,,,Universität Würzburg,TigerGraph,,,Painting,,
Shona Wesloh,Seat,Microsoft,,,Universität Passau,AI,GSQL,,Basketball,,
Dorene Mundo,Seat,Volkswagen,TigerGraph,,Fachhochschule Aachen,GSQL,,,Brewing Beer,Cooking,
Caitlyn Drexel,Toyota,Seat,Skoda,,Goethe-Universität Frankfurt am Main,NoSQL,GSQL,,Paragliding,,
Deborah Berth,Audi,Lexus,Opel,Mercedes,Friedrich-Alexander-Universität Erlangen-Nürnberg,Automotive,,,Gardening,,
Dortha Devoogd,Opel,Lexus,,,Frankfurt University of Applied Sciences,Industry trends,Airline,Future trends,Chilling,Badminton,
Rosena Deeters,Mercedes,Seat,Lexus,Audi,Technische Universität Kaiserslautern,Graph Databases,Future trends,,Paragliding,Bowling,Hunting
Benita Hindmarsh,Audi,BMW,Microsoft,,Universität Stuttgart,Kubernetes,Industry trends,AI,Relaxing,,
Janna Hespen,Opel,Lexus,BMW,,Hochschule der Bundesagentur für Arbeit,Cloud,AI,Future trends,Photography,Snowboarding,Fishing
Numbers Dressman,BMW,Microsoft,,,Munich Business School,Airline,,,Meditation,,
Genoveva Norsaganay,Mercedes,Tesla,,,Munich Business School,NoSQL,GSQL,,Geocaching,,
Yetta Syler,Porsche,Volkswagen,Skoda,,Universität Augsburg,Future trends,,,Parachuting,,
Thaddeus Kuretich,TigerGraph,Microsoft,Tesla,,Fachhochschule Aachen,Airline,,,Train Spotting,Rafting,
Cedric Fequiere,Skoda,,,,Technische Universität Braunschweig,Kubernetes,Airline,Graph Databases,Brewing Beer,Badminton,
Del Borsari,Lexus,BMW,Tesla,,Hochschule Macromedia,Big Data,Airline,Retail,Sailing,Car Racing,
Hisako Pavlica,Opel,TigerGraph,Skoda,Microsoft,Universität Konstanz,NoSQL,Big Data,,Football,Skiing,Rafting
Ashley Ybarbo,Volkswagen,Tesla,,,Universität der Bundeswehr München,Big Data,,,Train Spotting,Robotics,
Jesica Christmas,Toyota,Lexus,Skoda,,Universität Erfurt,Analytics,,,Reading,,
Lanell Schnathorst,Seat,Porsche,Mercedes,,Goethe-Universität Frankfurt am Main,Industry trends,Future trends,GSQL,Cooking,Aeromodeling,Marathon
Larraine Gerringer,Mercedes,,,,Brand Academy - Hochschule für Design und Kommunikation,Cloud,,,Geocaching,Bicycling,Robotics
Odessa Soscia,Seat,Skoda,Microsoft,,Universität Hamburg,Security,,,Golf,Gardening,
Lucien Boitel,Toyota,Opel,TigerGraph,Tesla,Brand Academy - Hochschule für Design und Kommunikation,Graph Databases,,,Baseball,Dancing,
Jay Fess,TigerGraph,,,,Universität Leipzig,Kubernetes,Graph Databases,Automotive,Darts,Running,Bicycling
Keeley Courson,Opel,TigerGraph,Tesla,,Friedrich-Alexander-Universität Erlangen-Nürnberg,Cloud,,,Hiking,Aeromodeling,Chess
Valeri Reinhold,Microsoft,,,,Universität Würzburg,Cloud,Future trends,GSQL,Snowboarding,,
Darleen Tanzi,Microsoft,,,,Munich Business School,NoSQL,Graph Databases,Industry trends,Basketball,Car Racing,
Amos Fischels,Lexus,Porsche,Tesla,,Hochschule Esslingen,Cloud,Kubernetes,Automotive,Train Spotting,,
Debroah Ofallon,Toyota,Audi,,,Beuth Hochschule für Technik Berlin,Analytics,,,Fishing,Motorcycles,
Darrin Doyan,Volkswagen,Porsche,Microsoft,Tesla,Fachhochschule Dortmund,Future trends,,,Kayaking,,
Domonique Korinta,Porsche,Mercedes,,,Universität Augsburg,Graph Databases,TigerGraph,Future trends,Bicycling,Car Racing,
Frida Yovino,TigerGraph,,,,Technische Universität Braunschweig,Analytics,Kubernetes,,Dancing,Horse riding,
Marion Chaffer,BMW,Opel,Skoda,,Philipps-Universität Marburg,Analytics,Industry trends,Retail,Train Spotting,Mountain Biking,
Allyn Okelly,Toyota,Opel,Porsche,Skoda,Universität der Bundeswehr München,Analytics,Graph Databases,,Fishing,,
Rea Neils,Skoda,Tesla,,,Universität der Bundeswehr München,Analytics,,,Baseball,,
Parker Nersesian,Audi,Lexus,TigerGraph,Microsoft,Hochschule Rosenheim,NoSQL,,,Brewing Beer,Basketball,Fencing
Yesenia Vadner,Lexus,TigerGraph,,,Universität Augsburg,AI,Automotive,Retail,Kayaking,,
Kathryn Roats,Skoda,,,,Hochschule Macromedia,TigerGraph,Security,Automotive,Traveling,,
Hollis Koelle,Toyota,Seat,Porsche,TigerGraph,Universität der Bundeswehr München,TigerGraph,Security,GSQL,Meditation,,
Estelle Crupe,Lexus,,,,Universität der Bundeswehr München,AI,Kubernetes,,Tennis,Traveling,
Annemarie Lachappelle,Opel,Microsoft,,,Universität Passau,Automotive,GSQL,,Sailing,,
Peggy Karins,Opel,Seat,Skoda,,FernUniversität in Hagen,Security,,,Couch potatoing,,
Myra Shreck,Lexus,Microsoft,,,Johannes Gutenberg-Universität Mainz,Kubernetes,Airline,Automotive,Train Spotting,Bowling,Stamp Collecting
Marty Seiner,Porsche,Microsoft,,,Johannes Gutenberg-Universität Mainz,Kubernetes,Graph Databases,Automotive,Hunting,Traveling,
Sherry Lorman,Toyota,Opel,Porsche,,Technische Universität Braunschweig,Future trends,,,Electronics,Traveling,
Sadye Stordahl,Toyota,Porsche,Volkswagen,Mercedes,Universität zu Lübeck,TigerGraph,Retail,,Football,Fencing,Mountain Biking
Charlsie Onukogu,Lexus,Skoda,Microsoft,,Fachhochschule Aachen,Retail,,,Painting,Aeromodeling,
Wayne Wlodarczyk,Skoda,,,,Hochschule der Bundesagentur für Arbeit,Graph Databases,TigerGraph,Future trends,Football,Skiing,Stamp Collecting
Shirly Machin,Mercedes,,,,Hochschule Macromedia,Airline,,,Couch potatoing,Reading,
Winston Degaust,Porsche,,,,Technische Universität Kaiserslautern,AI,Automotive,Security,Marathon,Calligraphy,
Cleopatra Mendyk,Audi,Lexus,Porsche,TigerGraph,Universität Würzburg,Big Data,,,Skiing,Painting,Playing music
Kelsi Sheeley,Seat,Volkswagen,Microsoft,,Universität Stuttgart,Cloud,Automotive,,Mountain Biking,Bicycling,Scuba Diving
Leila Kistner,Skoda,Lexus,BMW,Mercedes,Universität zu Lübeck,Big Data,Future trends,GSQL,Badminton,,
Alyse Kawaiaea,Audi,,,,Heinrich-Heine-Universität Düsseldorf,Graph Databases,AI,,Painting,Kayaking,
Apolonia Loudon,Audi,TigerGraph,,,Universität Erfurt,Analytics,Kubernetes,Automotive,Robotics,,
Alecia Tepp,Volkswagen,,,,Universität zu Köln,Cloud,Future trends,Security,Marathon,,
Chastity Hazelgrove,Seat,Microsoft,,,Hochschule für angewandte Wissenschaften München,Industry trends,TigerGraph,,Reading,Aeromodeling,
Faith Abalos,Toyota,Lexus,Tesla,,Universität Konstanz,Retail,,,Basketball,Martial Arts,Sailing
Burma Petrilla,Mercedes,TigerGraph,Microsoft,,Hochschule für angewandte Wissenschaften München,AI,Security,,Dog walking,Marathon,Horse riding
